Crop,Cover,Structure,N uptake,N transfer
African eggplant,-2,0,4,2
Anis,-4,2,3,1
Banana,-2,0,3,1
"Bean, broad green 1",0,1,0,2
"Bean, broad green 2",0,1,0,2
"Cabbage, common 1",-2,0,3,1
"Cabbage, common 2",-2,0,3,1
Cassava 1,0,0,4,1
Cassava 2,0,0,4,1
Cassava 3,0,0,4,1
"Corn, sweet 1",-2,0,3,1
"Corn, sweet 2",-2,0,3,1
Cowpea,0,1,0,2
Okra,-4,0,3,1
Onion 1,-2,-1,3,1
Onion 2,0,-1,3,1
Peanut,0,1,0,2
Pigeon pea 1,0,1,0,2
Pigeon pea 2,0,1,0,2
Rice,-4,1,4,1
Sesame,-2,0,2,2
Sorghum 1,0,1,3,1
Sorghum 2,0,1,3,1
Tomato 1,-2,0,4,2
Tomato 2,-2,0,4,2
"Wheat, bread 1",-2,2,2,1
"Wheat, bread 2",-2,2,2,1